"pub_date","snippet"
"2016-01-01T19:07:09+0000","hillari clinton’ presidenti campaign rais 37 million threemonth period end dec 31 bring total war chest use democrat presidenti contest 112 million"
"2016-01-01T19:09:17+0000","coach larri brown’ southern methodist univers men’ basketbal team 120 inelig postseason play season"
"2016-01-01T19:45:13+0000","espn paid price semifinals’ move new year’ eve season rate game third last season"
"2016-01-01T20:21:07+0000","one app’ effort understand teenag audienc illumin habit generat constant connect often anxious"
"2016-01-01T20:45:36+0000","jet win buffalo sunday will clinch afc wildcard berth ben shpigel break key moment led jet brink playoff"
"2016-01-01T20:47:30+0000","jon dorenbos’ father murder mother 12 got life back track footbal help aunt most magic"
"2016-01-01T20:57:07+0000","leila khan luci nemerov two eighth grader palo alto calif friend explain delet instagram photo"
"2016-01-01T21:05:58+0000","best chanc succeed goal incent — like financi social health cost — fail expert say"
"2016-01-01T21:13:06+0000","term haunt clemson’ footbal program may longer appli unbeaten tiger"
"2016-01-01T21:14:46+0000","consensus hold littl evid link cellphon use increas risk health problem scientist health agenc disagre guidanc give public"
"2016-01-01T21:17:17+0000","mani retire tri earn degre particip program like osher lifelong learn institut affili most colleg univers"
"2016-01-01T21:23:35+0000","get recommend new york time report editor highlight great stori around web today great read carolyn ryan jennif steinhauer other"
"2016-01-01T21:23:53+0000","adam bosworth tech pioneer see futur server manag learn data gather sensor implant practic everyth"
"2016-01-01T21:46:22+0000","new york state attorney general eric t schneiderman want fanduel draftk give back million dollar made state pay penalti"
"2016-01-01T21:53:46+0000","“star wars” offer way model system risk"
"2016-01-01T21:54:12+0000","activ coordin turn one inhospit territori earth complex secur challeng african global forc"
"2016-01-01T22:07:59+0000","william bratton raymond kelli held new york city’ top polic job twice mr kelly’ comment crime number forc simmer tension open"
"2016-01-01T22:17:55+0000","revu run san francisco sinc 1974 still feel fresh goofi"
"2016-01-01T22:24:37+0000","map creat 1769 celebr british surveyor bernard ratzer restor digit university’ onlin manuscript collect"
"2016-01-01T22:29:06+0000","marcelin loridaniven whose memoir take form letter murder father say franc famili sought protect increas risk"
"2016-01-01T22:33:24+0000","one show play immigr debat center life 20someth"
"2016-01-01T22:40:29+0000","branch usual repertori group gave soar perform express liturg work"
"2016-01-01T22:49:10+0000","100 peopl ralli step capitol display firearm exult ’s now legal"
"2016-01-01T22:52:51+0000","illustr look world wing georg balanchine’ classic ballet lincoln center"
"2016-01-01T22:59:34+0000","new product bizet’ “les pêcheur de perles” brought penni woolcock british director filmmak metropolitan opera"
"2016-01-01T23:04:09+0000","feder judg massachusett rule entertainer’ wife almost 52 year can depos defam case brought seven women"
"2016-01-01T23:07:22+0000","ms jone broadway star play lesbian poetri professor strong feel transgend issu amazon’ “transparent”"
"2016-01-01T23:13:59+0000","reader discuss inact congress resolut give presid author use militari forc"
"2016-01-01T23:14:14+0000","reader discuss new york citi albuquerqu tri address problem offer suggest"
"2016-01-01T23:14:24+0000","presid aarp new york state discuss social secur retir save"
"2016-01-01T23:20:14+0000","citi law requir anim captur euthan human fashion mani extermin homeown aren’t"
"2016-01-01T23:49:22+0000","magician name belinda sinclair offer visitor perform weav lesson women held séanc area centuri ago"
"2016-01-02T00:10:51+0000","time squar web ask peopl tell us wish 2016"
"2016-01-02T00:30:09+0000","current system leav million american poverti nearpoverti ’s propos save futur generat"
"2016-01-02T00:38:55+0000","although economi improv sinc financi crisi wave recess continu upend job seeker now new studi show longterm unemploy risen among women"
"2016-01-02T00:41:14+0000","blog onsmash among music site shut 2010 accus copyright infring sell counterfeit good"
"2016-01-02T00:44:33+0000","new york senator’ long polit career taken new turn republican make villain choic — role hasn’t exact reject"
"2016-01-02T00:45:13+0000","holist servic critic equip famili need skill treatment"
"2016-01-02T01:07:39+0000","stephen hewettbrown 25 help resid escap broken elev lower east side short crush wit said"
"2016-01-02T01:23:58+0000","bull built big lead knick manag nose ahead second half go 2 19 field final period"
"2016-01-02T01:30:00+0000","aleksey bikov came new york tashkent uzbekistan escap poverti antisemit face"
"2016-01-02T01:33:00+0000","look year’ strike style section imag"
"2016-01-02T01:38:42+0000","canadien goali mike condon grew nearbi holliston mass rare threaten first 30 minut canadien control play end"
"2016-01-02T01:41:06+0000","look like coney island particular festiv summer day except jan 1 thousand peopl flock seasid start year right way — unseason ocean swim"
"2016-01-02T01:45:44+0000","bill cosbi made first public statement sinc charg aggrav indec assault post messag twitter say “friend fan thank ”"
